symbol,company,price,vwap,distance,phase,signal,divergence,strength,open_is_low
BBCA,PT Bank Central Asia Tbk,7300.0,7622.156964769389,-4.226585286270546,ACCUMULATION,NEUTRAL,BEARISH,55,False
BBNI,PT Bank Negara Indonesia Tbk,4500.0,4425.356043207754,1.686733362546348,ABSORBING,HOLD,BEARISH,40,False
BBRI,PT Bank Rakyat Indonesia Tbk,3900.0,3695.7841615449374,5.525642990192773,DISTRIBUTION,NEUTRAL,NEUTRAL,70,False
BDMN,PT Bandung Indah Tbk,2890.0,2571.6237808818673,12.380357557937744,DISTRIBUTION,STRONG_SELL,NEUTRAL,95,True
BMRI,PT Bank Mandiri Tbk,5275.0,4861.343317894933,8.509102424063926,DISTRIBUTION,NEUTRAL,NEUTRAL,70,True
BSDE,PT Bumi Serpong Damai Tbk,880.0,928.666728885025,-5.24049450371235,ACCUMULATION,NEUTRAL,NEUTRAL,70,True
BSIM,PT Bank Sinarmas Tbk,1075.0,1337.3174017763058,-19.61519392687779,ACCUMULATION,NEUTRAL,NEUTRAL,70,False
BTPN,PT Bank BTPN Tbk,2120.0,2121.191072920396,-0.05615113770755909,ABSORBING,HOLD,BULLISH,40,False
CPIN,PT Charoen Pokphand Indonesia Tbk,4430.0,4513.495324618019,-1.8499038685740887,ABSORBING,HOLD,NEUTRAL,40,False
CTBN,PT Citibank Indonesia Tbk,6075.0,6971.40315445278,-12.858288849357802,ACCUMULATION,NEUTRAL,BEARISH,70,True
ENRG,PT Energi Mega Persada Tbk,1665.0,1390.5064609880985,19.740543946616793,DISTRIBUTION,NEUTRAL,NEUTRAL,80,False
GGRM,PT Gudang Garam Tbk,16300.0,15223.628835999427,7.070398100190609,DISTRIBUTION,NEUTRAL,NEUTRAL,80,False
HMSP,PT Hanwha Q Cells Indonesia Tbk,915.0,827.1461951051361,10.62131524206516,DISTRIBUTION,NEUTRAL,BEARISH,80,False
INCO,PT Vale Indonesia Tbk,7100.0,5821.812455472641,21.95514806262494,DISTRIBUTION,NEUTRAL,NEUTRAL,70,False
INTP,PT Indocement Tunggal Prakasa Tbk,6600.0,6781.620947356725,-2.6781347522455605,ACCUMULATION,BUY,NEUTRAL,65,False
ITMG,PT Indo Tambangraya Megah Tbk,22625.0,21997.455678309383,2.8528041191118647,DISTRIBUTION,NEUTRAL,BEARISH,55,True
JSMR,PT Jasa Marga Persero Tbk,3790.0,3552.551965013615,6.683872250844759,DISTRIBUTION,NEUTRAL,NEUTRAL,70,True
KLBF,PT Kalbe Farma Tbk,1080.0,1180.4908057678986,-8.512629262074617,ACCUMULATION,BUY,BEARISH,80,False
MEDC,PT Medco Energi Internasional Tbk,1730.0,1507.8989334172397,14.729174592585528,DISTRIBUTION,NEUTRAL,NEUTRAL,70,False
MIKA,PT Mitra Keluarga Tbk,2330.0,2416.1816294316836,-3.5668522755863616,ACCUMULATION,NEUTRAL,BEARISH,55,True
MNCN,PT Media Nusantara Citra Tbk,234.0,263.9592205117172,-11.349942787994902,ACCUMULATION,NEUTRAL,NEUTRAL,70,False
PGAS,PT Perusahaan Gas Negara Tbk,2270.0,2025.8876838698889,12.049647079338733,DISTRIBUTION,SELL,NEUTRAL,80,True
PJAA,PT Pembangunan Jaya Anchor Tbk,560.0,623.9396415127435,-10.247728667747676,ACCUMULATION,BUY,BULLISH,80,False
SMGR,PT Semen Indonesia Tbk,3200.0,2784.0175956677003,14.941802270920391,DISTRIBUTION,STRONG_SELL,BEARISH,95,True
TINS,PT Timah Tbk,4160.0,3484.5036362591527,19.385727043351224,DISTRIBUTION,NEUTRAL,NEUTRAL,80,True
TLKM,PT Telekomunikasi Indonesia Tbk,3550.0,3534.3261569272586,0.44347472125685905,ABSORBING,HOLD,BEARISH,40,True
UNTR,PT United Tractors Tbk,30725.0,28022.847609325952,9.64267596336204,DISTRIBUTION,NEUTRAL,NEUTRAL,70,False
UNVR,PT Unilever Indonesia Tbk,2370.0,2389.986534831803,-0.8362613989877403,ABSORBING,HOLD,NEUTRAL,50,False
WIKA,PT Wika Gedung Tbk,204.0,,,DISTRIBUTION,NEUTRAL,NEUTRAL,50,True
WSKT,PT Waskita Karya Tbk,202.0,,,DISTRIBUTION,NEUTRAL,NEUTRAL,50,True
