symbol,company,price,vwap,distance,phase,signal,divergence,strength,open_is_low
BBCA,PT Bank Central Asia Tbk,7175.0,7569.546114758188,-5.212282332079988,ACCUMULATION,NEUTRAL,BULLISH,70,False
BBNI,PT Bank Negara Indonesia Tbk,4400.0,4428.506217864674,-0.6436982689485543,ABSORBING,HOLD,BULLISH,50,False
BBRI,PT Bank Rakyat Indonesia Tbk,3910.0,3706.1303749530257,5.500875695706153,DISTRIBUTION,SELL,BULLISH,80,False
BDMN,PT Bandung Indah Tbk,2840.0,2600.248816656304,9.220316986894948,DISTRIBUTION,NEUTRAL,NEUTRAL,70,False
BMRI,PT Bank Mandiri Tbk,5275.0,4888.944675181958,7.896496083864436,DISTRIBUTION,NEUTRAL,BULLISH,80,False
BSDE,PT Bumi Serpong Damai Tbk,830.0,922.1486589721897,-9.992820363139376,ACCUMULATION,STRONG_BUY,NEUTRAL,95,False
BSIM,PT Bank Sinarmas Tbk,1045.0,1331.953274926992,-21.54379439043916,ACCUMULATION,NEUTRAL,BEARISH,70,False
BTPN,PT Bank BTPN Tbk,2160.0,2120.825348022888,1.8471418221039215,ABSORBING,HOLD,NEUTRAL,40,True
CPIN,PT Charoen Pokphand Indonesia Tbk,4250.0,4485.3401797686365,-5.246874714880062,ACCUMULATION,STRONG_BUY,BULLISH,95,False
CTBN,PT Citibank Indonesia Tbk,6050.0,6963.355512014586,-13.116600329233233,ACCUMULATION,NEUTRAL,NEUTRAL,70,False
ENRG,PT Energi Mega Persada Tbk,1760.0,1445.9068292967486,21.72291909403444,DISTRIBUTION,SELL,NEUTRAL,80,False
GGRM,PT Gudang Garam Tbk,17300.0,15320.800462073134,12.918382057297881,DISTRIBUTION,STRONG_SELL,NEUTRAL,100,False
HMSP,PT Hanwha Q Cells Indonesia Tbk,905.0,829.815123904397,9.06043694911797,DISTRIBUTION,NEUTRAL,NEUTRAL,70,False
INCO,PT Vale Indonesia Tbk,7900.0,5949.951870093674,32.774183262017296,DISTRIBUTION,STRONG_SELL,NEUTRAL,95,True
INTP,PT Indocement Tunggal Prakasa Tbk,6200.0,6755.8679160835145,-8.227927528899352,ACCUMULATION,BUY,BULLISH,80,False
ITMG,PT Indo Tambangraya Megah Tbk,22775.0,22031.001315576697,3.377053424699626,DISTRIBUTION,SELL,NEUTRAL,65,False
JSMR,PT Jasa Marga Persero Tbk,3700.0,3563.977319346153,3.816597819393583,DISTRIBUTION,NEUTRAL,NEUTRAL,55,False
KLBF,PT Kalbe Farma Tbk,1100.0,1165.958576914619,-5.657025748647076,ACCUMULATION,NEUTRAL,BEARISH,70,False
MEDC,PT Medco Energi Internasional Tbk,1725.0,1528.903285623768,12.825972461444987,DISTRIBUTION,NEUTRAL,NEUTRAL,80,False
MIKA,PT Mitra Keluarga Tbk,2200.0,2399.699556158922,-8.321856611023879,ACCUMULATION,BUY,NEUTRAL,80,False
MNCN,PT Media Nusantara Citra Tbk,234.0,262.2511375197912,-10.772550993285657,ACCUMULATION,BUY,NEUTRAL,80,False
PGAS,PT Perusahaan Gas Negara Tbk,2390.0,2053.785760523843,16.37046307061754,DISTRIBUTION,SELL,NEUTRAL,80,False
PJAA,PT Pembangunan Jaya Anchor Tbk,565.0,623.3870151647632,-9.366094215056965,ACCUMULATION,NEUTRAL,BEARISH,70,False
SMGR,PT Semen Indonesia Tbk,2920.0,2804.135950101932,4.131898451423382,DISTRIBUTION,NEUTRAL,BEARISH,55,False
TINS,PT Timah Tbk,4600.0,3564.277367232445,29.058418469036333,DISTRIBUTION,NEUTRAL,BEARISH,80,False
TLKM,PT Telekomunikasi Indonesia Tbk,3540.0,3529.892754546968,0.28633293292020634,ABSORBING,HOLD,BULLISH,50,False
UNTR,PT United Tractors Tbk,28600.0,28154.139003056167,1.5836428061090209,DISTRIBUTION,SELL,BULLISH,50,False
UNVR,PT Unilever Indonesia Tbk,2380.0,2381.24124492227,-0.05212596266409435,ACCUMULATION,BUY,NEUTRAL,65,False
WIKA,PT Wika Gedung Tbk,204.0,,,DISTRIBUTION,NEUTRAL,NEUTRAL,50,True
WSKT,PT Waskita Karya Tbk,202.0,,,DISTRIBUTION,NEUTRAL,NEUTRAL,50,True
